ID,Tên công việc,Mô tả,ID lĩnh vực,Loại công việc,Loại lương,Yêu cầu
1,Lập trình web bán hàng,Cần lập trình viên có ít nhất 2 năm kinh nghiệp với các công nghệ có liên quan,1,1,2,
2,Thiết kế giao diện website,"<p><strong>Cần người c&oacute; kinh nghiệm về Frontend</strong></p>
",1,2,1,
1002,Lập trình web bán hàng,Cần có kỹ năng,2,1,2,
2002,Dự án demo,Mô tả dự án,1,1,2,
3010,Lập bảng tính (chứa công thức) số liệu trong excel,"<p>T&ocirc;i cần lập 1 trang t&iacute;nh Excel chứa c&ocirc;ng thức t&iacute;nh to&aacute;n c&aacute;c số liệu nhập v&agrave;o để ra 1 kết quả cụ thể</p>
",1030,1,2,"<p>Từng l&agrave;m dự &aacute;n tương tự</p>
"
3012,Thiết kế App quản lý bảo trì,"<p>Thiết kế APP sử dụng cho c&ocirc;ng ty cần c&oacute; c&aacute;c chức năng ch&iacute;nh như sau:</p>

<p>1) Quản l&yacute; t&agrave;i sản.</p>

<p>2) Quản l&yacute; c&ocirc;ng việc.</p>

<p>3) Quản l&yacute; kế hoạch bảo tr&igrave;.</p>

<p>4) B&aacute;o c&aacute;o, ghi nhận c&aacute;c th&ocirc;ng tin tiến độ sau bảo tr&igrave;.</p>

<p>5) Xuất được dữ liệu.</p>

<p>6) Bảo tr&igrave;, chỉnh sửa app theo y&ecirc;u cầu.</p>

<p>7) Sử dụng 2 ng&ocirc;n ngữ Việt, Anh</p>
",1030,1,2,"<p>kh&ocirc;ng y&ecirc;u cầu</p>
"
3013,Seeding trên mạng xã hội,"<p>- Seeding tr&ecirc;n trang mạng x&atilde; hội theo y&ecirc;u cầu của nh&agrave; tuyển dụng</p>

<p>- Đ&atilde; c&oacute; mẫu, chỉ cần follow theo l&agrave; c&oacute; thể l&agrave;m được</p>
",1035,2,1,"<p>kh&ocirc;ng y&ecirc;u cầu</p>
"
3014,"Chuyên viên Email, Zalo Marketing & Digital Marketing","<p>- Quản l&yacute; lịch email, zalo gửi số lượng v&agrave; chủ đề, x&aacute;c định nhịp dựa tr&ecirc;n kiểm tra hiệu suất, c&aacute;c phương ph&aacute;p hay nhất v&agrave; xu hướng của ng&agrave;nh.</p>

<p>- Quản l&iacute; v&agrave; thiết lập phễu email marketing, zalo marketing tr&ecirc;n hệ thống.</p>

<p>- Quản l&yacute; quy tr&igrave;nh email, zalo marketing một c&aacute;ch hiệu quả, quản l&yacute; c&aacute;c chương tr&igrave;nh đạt đến chỉ số nhất định về tỉ lệ mở, tỉ lệ xem &hellip; g&oacute;p phần gia tăng tỉ lệ mua h&agrave;ng, tỉ lệ chuyển đổi.</p>

<p>- Kiểm tra c&aacute;c mẫu email, zalo v&agrave; cấu tr&uacute;c nhắn tin để x&aacute;c định phương ph&aacute;p tiếp cận s&aacute;ng tạo tối ưu. Tạo nội dung email cho người d&ugrave;ng cũ.</p>

<p>- X&aacute;c định v&agrave; ph&acirc;n t&iacute;ch cơ sở dữ liệu, h&agrave;nh vi / kỳ vọng của kh&aacute;ch h&agrave;ng để tăng cường cơ hội kinh doanh.</p>

<p>- Lập kế hoạch truyền th&ocirc;ng x&atilde; hội để ph&aacute;t triển c&aacute;c chiến dịch tiếp",1035,2,1,"<p>Y&ecirc;u cầu &iacute;t nhất 2 năm kinh nghiệm</p>
"
3015,FREELANCER FACEBOOK ADS,"<p>1. M&ocirc; Tả c&ocirc;ng việc:</p>

<p>- Thiết lập, triển khai v&agrave; quản l&yacute; c&aacute;c chiến dịch Quảng c&aacute;o tr&ecirc;n Facebook để th&uacute;c đẩy nhận diện thương hiệu, mức độ tương t&aacute;c v&agrave; chuyển đổi.</p>

<p>- Theo d&otilde;i v&agrave; ph&acirc;n t&iacute;ch hiệu suất chiến dịch, cung cấp b&aacute;o c&aacute;o chi tiết v&agrave; th&ocirc;ng tin chuy&ecirc;n s&acirc;u để tối ưu h&oacute;a v&agrave; cải thiện kết quả.</p>

<p>- Ph&acirc;n bổ v&agrave; quản l&yacute; ng&acirc;n s&aacute;ch quảng c&aacute;o hiệu quả để đảm bảo ROI tốt nhất cho mỗi chiến dịch.</p>

<p>- L&agrave;m việc chặt chẽ với nh&oacute;m s&aacute;ng tạo để ph&aacute;t triển c&aacute;c quảng c&aacute;o hấp dẫn v&agrave; nội dung thu h&uacute;t được đối tượng mục ti&ecirc;u</p>

<p>- Sử dụng c&aacute;c c&ocirc;ng cụ v&agrave; nền tảng ph&acirc;n t&iacute;ch để theo d&otilde;i số liệu hiệu suất v&agrave; đưa ra quyết định dựa tr&ecirc;n dữ liệu</p>

<p>- Lu&ocirc;n nắm bắt c&aacute;c xu hướng mới nhất, c&",1034,2,1,"<p>Cần khả nằng tư duy ph&acirc;n t&iacute;ch</p>
"
3016,Thiết kế Logo cho Công ty xuất khẩu trái cây,"<p>Thiết kế Logo cho C&ocirc;ng ty xuất khẩu tr&aacute;i c&acirc;y</p>

<p>---</p>

<p>M&agrave;u sắc: Sử dụng c&aacute;c m&agrave;u sắc nhẹ nh&agrave;ng v&agrave; tự nhi&ecirc;n như xanh l&aacute; c&acirc;y, v&agrave;ng, cam, đỏ, thể hiện sự tươi m&aacute;t, sức khỏe v&agrave; sự tự nhi&ecirc;n.</p>

<p>Biểu tượng: Kết hợp với c&aacute;c biểu tượng thể hiện sự sống khỏe mạnh, tự nhi&ecirc;n, 2 b&agrave;n tay n&acirc;ng niu tr&aacute;i c&acirc;y.</p>

<p>Ph&ocirc;ng chữ: Chọn ph&ocirc;ng chữ r&otilde; r&agrave;ng, hiện đại, v&agrave; dễ đọc, c&ugrave;ng với một ch&uacute;t sự mềm mại để tạo cảm gi&aacute;c th&acirc;n thiện v&agrave; gần gũi.</p>

<p>Phong c&aacute;ch thiết kế: Sử dụng phong c&aacute;ch tối giản nhưng tinh tế để tạo sự chuy&ecirc;n nghiệp v&agrave; dễ nhận diện. Phong c&aacute;ch n&agrave;y cũng gi&uacute;p logo dễ d&agrave;ng được in tr&ecirc;n c&aacute;c sản phẩm v&agrave; bao b&igrave; kh&aacute;c nhau.</p>

<p>Th&ocirc;ng điệp: Đảm bảo logo truyền tải được th&ocirc;ng điệp về sự kết hợp g",1035,1,2,"<p>C&oacute; kinh nghiệm thiết kế logo</p>
"
3017,Thiết kế video giới thiệu sản phẩm,"<p>Cần thiết kế GIF ngắn giới thiệu sản phẩm số (website, mobileapp)</p>

<p>V&iacute; dụ: https://dribbble.com/shots/24455042-Vet-App-Mobile-Design</p>
",1035,1,2,"<p>Cần c&oacute; kỹ năng thiết kế</p>
"
3018,Edit video ngắn tầm 1 phút -2 phút,"<p>Bạn c&oacute; thể cung cấp dịch vụ n&agrave;y?&nbsp;<a href=""https://www.vlance.vn/a/1728265/edit#service-can-provide"">Th&ecirc;m v&agrave;o hồ sơ l&agrave;m việc</a>.</p>

<p>C&ocirc;ng ty Bất Động Sản H&agrave; Đ&ocirc; Ph&aacute;t cần tuyển 02 cộng t&aacute;c vi&ecirc;n media</p>

<p>- Lĩnh vực : bất động sản</p>

<p>-Số lượng : 02</p>

<p>-Lương theo sản phẩm</p>

<p>- Nội dung y&ecirc;u cầu : edit video ngắn tầm 1 ph&uacute;t - 2 ph&uacute;t</p>

<p>- Y&ecirc;u cầu : đảm bảo đ&uacute;ng tiến độ , l&agrave;m việc chuy&ecirc;n nghiệp , trung thực, linh hoạt , nhanh nhẹn, s&aacute;ng tạo,&hellip;</p>
",1035,1,2,"<ul>
	<li>Kiến thứ về bất động sản</li>
	<li>kỹ năng edit video</li>
</ul>
"
3019,Chụp ảnh sản phẩm,"<p>M&ocirc; tả dự &aacute;n:</p>

<p>Sản phẩm: Bộ sản phẩm nến thơm m&ugrave;a đ&ocirc;ng, gồm 11 sản phẩm v&agrave; 7 combo.</p>

<p>Phong c&aacute;ch chụp ảnh: Ấm &aacute;p, tinh tế, tối giản. Freelancer cần thể hiện r&otilde; n&eacute;t thiết kế v&agrave; chất liệu của sản phẩm qua c&aacute;c g&oacute;c chụp, tạo cảm gi&aacute;c ấm c&uacute;ng ph&ugrave; hợp với m&ugrave;a đ&ocirc;ng.</p>

<p>Số lượng ảnh:</p>

<p>Mỗi sản phẩm v&agrave; combo sẽ chụp khoảng 5 tấm ảnh.</p>

<p>Tổng số ảnh dự kiến: 90 tấm.</p>

<p>Y&ecirc;u cầu về người mẫu: Kh&ocirc;ng cần người mẫu, chỉ tập trung chụp sản phẩm.</p>

<p>Y&ecirc;u cầu cụ thể cho freelancer:</p>

<p>Chuẩn bị bối cảnh v&agrave; ph&ocirc;ng nền:</p>

<p>Freelancer tự chuẩn bị bối cảnh chụp, c&oacute; thể sử dụng ph&ocirc;ng nền đơn sắc, vật dụng trang tr&iacute; tối giản nhằm l&agrave;m nổi bật sản phẩm.</p>

<p>Sử dụng &aacute;nh s&aacute;ng tự nhi&ecirc;n hoặc &aacute;nh s&aacute;ng dịu nhẹ, tr&aacute;nh đổ b&oacute;ng mạnh để tạo cảm gi&aacute;c ấm &aacute;",1035,1,1,"<p>- kỹ năng xử dụng mạng x&atilde; hội</p>

<p>- Kỹ năng chụp ảnh</p>
"
3020,"Chụp ảnh, quay clip resort ở Mũi Né","<p>M&igrave;nh b&ecirc;n agency, cần t&igrave;m người quay chụp chuy&ecirc;n nghiệp cho kh&aacute;ch h&agrave;ng l&agrave; resort 5 sao ở Mũi N&eacute;. Bạn n&agrave;o l&agrave;m được th&igrave; nhắn m&igrave;nh nh&eacute;.</p>
",1035,1,2,"<p>Kỹ năng chụp ảnh v&agrave; l&agrave;m clip</p>
"
3021,Mình cần quay chụp không gian nội thất nhà ở,"<p>M&igrave;nh cần t&igrave;m bạn quay chụp kh&ocirc;ng gian nội thất nh&agrave; ở</p>

<p>- Chụp ảnh v&agrave; xử l&yacute; ảnh</p>

<p>- Quay dựng video dưới 10p</p>
",1035,1,2,"<p>- video editing</p>

<p>- chụp ảnh</p>

<p>- xử l&yacute; ảnh</p>
"
3022,Chụp ảnh sản phẩm tiệm trà,"<p>Cần t&igrave;m 1 team 2 - 3 người chụp ảnh khoảng 40 sản phẩm cho tiệm tr&agrave;.</p>
",1035,1,1,"<p>Kỹ năng chụp ảnh tốt</p>
"
3023,Cần CTV viết bài SEO cho website mới tạo,"<p>B&ecirc;n m&igrave;nh cần tuyển ctv content viết nội dung chuẩn seo cho website v&agrave; tối ưu onpage cho website. C&ocirc;ng việc bao gồm :</p>

<p>- Tối ưu Onpage</p>

<p>- Viết b&agrave;i chi tiết sản phẩm điều h&ograve;a : Daikin, panasonic, Funiki, Casper, LG</p>

<p>- Viết b&agrave;i SEO từ kh&oacute;a theo kế hoạch</p>

<p>Y&ecirc;u cầu :</p>

<p>- B&agrave;i viết chuẩn SEO, internal link, tối ưu onpage, tối ưu c&aacute;c thẻ</p>

<p>- Tự l&ecirc;n kế hoạch viết b&agrave;i</p>

<p>- B&aacute;o c&aacute;o qua gg sheet</p>
",1038,2,1,"<p>Tốt nghiệp đại học</p>
"
3024,Tìm content freelancer mảng F&B,"<p>Viết b&agrave;i quảng c&aacute;o facebook mảng F&amp;B</p>

<p>Triển khai dựa tr&ecirc;n idea v&agrave; h&igrave;nh ảnh c&oacute; sẵn</p>
",1038,1,2,"<p>Tốt nghiệp đại học</p>
"
3025,"Nhập liệu, cập nhật sản phẩm cho fanpage facebook - Hợp tác thời vụ lâu dài","<p>Cập nhật sản phẩm fanpage.</p>

<p>- Đăng h&igrave;nh sản phẩm l&ecirc;n facebook để lấy link.</p>

<p>- Nhập th&ocirc;ng tin sản phẩm v&agrave;o spreadsheet tr&ecirc;n Drive. C&oacute; hơn 1000 sản phẩm thuộc c&aacute;c danh mục kh&aacute;c nhau.</p>

<p>- Tuỳ chỉnh nội dung sản phẩm.</p>

<p>M&igrave;nh mong sẽ hợp t&aacute;c l&acirc;u d&agrave;i v&igrave; sau c&aacute;i fanpage facebook m&igrave;nh sẽ c&oacute; nhiều thay đổi về sau. Dự định sẽ l&agrave;m 1 website b&aacute;n h&agrave;ng tren Haravan.</p>

<p>Hiện giờ facebook page, website đ&atilde; đi v&agrave;o hoạt động v&agrave; cập nhật của bạn sẽ l&ecirc;n ngay lập tức :)). Vai tr&ograve; của bạn rất quan trọng với doanh nghiệp của m&igrave;nh.</p>

<p>B&ecirc;n m&igrave;nh sẽ trả theo c&ocirc;ng việc ho&agrave;n th&agrave;nh chứ kh&ocirc;ng nhất thiết theo thời gian n&ecirc;n bạn c&oacute; thể đề xuất hay nghĩ ra c&aacute;ch l&agrave;m thuận tiện nhất v&agrave; đưa ra đề xuất để c&aacute;i tiến facebook page, website. Nếu l&agrave;m tốt c&ocirc",1035,2,1,"<p>Kỹ năng g&otilde; ph&iacute;a v&agrave; nhập liệu nhanh</p>
"
3026,Nhập liệu hóa đơn/chứng từ ,"<p>M&ocirc; tả chi tiết:</p>

<p>- Chụp h&igrave;nh, nhập h&oacute;a đơn v&agrave;o hệ thống. (t&agrave;i liệu tiếng anh)</p>

<p>- L&agrave;m trong 1-2 ng&agrave;y</p>

<p>- Nhận t&agrave;i liệu v&agrave; l&agrave;m tại nh&agrave;</p>

<p>Vị tr&iacute;: Nhận t&agrave;i liệu tại Quận 3 th&agrave;nh phố Hồ Ch&iacute; Minh.</p>

<p>Mức lương: 40k-50k/h</p>
",1035,2,1,"<p>L&agrave;m việc nhanh nhẹn</p>
"
3027,Cắt path-chỉnh màu sản phẩm,"<p>Sử dụng th&agrave;nh thạo pentool trong clipping path</p>

<p>Chỉnh m&agrave;u,đổi m&agrave;u v&agrave; l&agrave;m đều m&agrave;u c&aacute;c h&igrave;nh</p>
",1035,1,2,"<p>Từng l&agrave;m qua c&ocirc;ng việc tương tự</p>
"
3028,"Thiết kế Sweater, Hoodie, Jacket, Shoes 3D","<p>Team cần tuyển gấp 02 bạn c&oacute; kinh nghiệm tối thiểu 1 năm Thiết kế Sweater, Hoodie, Jacket, Shoes 3D...</p>
",1035,1,2,"<p>- c&oacute; mắt gu thẩm mỹ tốt</p>

<p>- nhanh nhẹn tự chủ trong c&ocirc;ng việc</p>

<p>- c&oacute; khả năng l&agrave;m mockup v&agrave; c&aacute;c y&ecirc;u cầu thiết kế kh&aacute;c</p>

<p>- C&oacute; am hiểu về thời trang l&agrave; 1 lợi thế</p>

<p>Đ&uacute;ng hẹn, tr&aacute;ch nhiệm trong c&ocirc;ng việc l&agrave; điều bắt buộc. Lương thoả thuận. Vui l&ograve;ng li&ecirc;n hệ, xin cảm ơn!</p>
"
