ID,Tên công việc,Mô tả,Loại công việc,Loại lương
1,Lập trình web bán hàng,Cần lập trình viên có ít nhất 2 năm kinh nghiệp với các công nghệ có liên quan,1,2
2,Thiết kế giao diện website,Cần người có kinh nghiệm về Frontend,2,1
1002,Lập trình web bán hàng,Cần có kỹ năng,1,2
2002,Dự án demo,Mô tả dự án,1,2
3010,Lập bảng tính (chứa công thức) số liệu trong excel,Tôi cần lập 1 trang tính Excel chứa công thức tính toán các số liệu nhập vào để ra 1 kết quả cụ thể,1,2
3012,Thiết kế App quản lý bảo trì,"Thiết kế APP sử dụng cho công ty cần có các chức năng chính như sau:
1) Quản lý tài sản.
2) Quản lý công việc.
3) Quản lý kế hoạch bảo trì.
4) Báo cáo, ghi nhận các thông tin tiến độ sau bảo trì.
5) Xuất được dữ liệu.
6) Bảo trì, chỉnh sửa app theo yêu cầu.
7) Sử dụng 2 ngôn ngữ Việt, Anh",1,2
3013,Seeding trên mạng xã hội,"- Seeding trên trang mạng xã hội theo yêu cầu của nhà tuyển dụng
- Đã có mẫu, chỉ cần follow theo là có thể làm được",2,1
3014,"Chuyên viên Email, Zalo Marketing & Digital Marketing","- Quản lý lịch email, zalo gửi số lượng và chủ đề, xác định nhịp dựa trên kiểm tra hiệu suất, các phương pháp hay nhất và xu hướng của ngành.
- Quản lí và thiết lập phễu email marketing, zalo marketing trên hệ thống.
- Quản lý quy trình email, zalo marketing một cách hiệu quả, quản lý các chương trình đạt đến chỉ số nhất định về tỉ lệ mở, tỉ lệ xem … góp phần gia tăng tỉ lệ mua hàng, tỉ lệ chuyển đổi.
- Kiểm tra các mẫu email, zalo và cấu trúc nhắn tin để xác định phương pháp tiếp cận sáng tạo tối ưu. Tạo nội dung email cho người dùng cũ.
- Xác định và phân tích cơ sở dữ liệu, hành vi / kỳ vọng của khách hàng để tăng cường cơ hội kinh doanh.
- Lập kế hoạch truyền thông xã hội để phát triển các chiến dịch tiếp",2,1
3015,FREELANCER FACEBOOK ADS,"1. Mô Tả công việc:
- Thiết lập, triển khai và quản lý các chiến dịch Quảng cáo trên Facebook để thúc đẩy nhận diện thương hiệu, mức độ tương tác và chuyển đổi.
- Theo dõi và phân tích hiệu suất chiến dịch, cung cấp báo cáo chi tiết và thông tin chuyên sâu để tối ưu hóa và cải thiện kết quả.
- Phân bổ và quản lý ngân sách quảng cáo hiệu quả để đảm bảo ROI tốt nhất cho mỗi chiến dịch.
- Làm việc chặt chẽ với nhóm sáng tạo để phát triển các quảng cáo hấp dẫn và nội dung thu hút được đối tượng mục tiêu
- Sử dụng các công cụ và nền tảng phân tích để theo dõi số liệu hiệu suất và đưa ra quyết định dựa trên dữ liệu
- Luôn nắm bắt các xu hướng mới nhất, c&",2,1
3016,Thiết kế Logo cho Công ty xuất khẩu trái cây,"Thiết kế Logo cho Công ty xuất khẩu trái cây
---
Màu sắc: Sử dụng các màu sắc nhẹ nhàng và tự nhiên như xanh lá cây, vàng, cam, đỏ, thể hiện sự tươi mát, sức khỏe và sự tự nhiên.
Biểu tượng: Kết hợp với các biểu tượng thể hiện sự sống khỏe mạnh, tự nhiên, 2 bàn tay nâng niu trái cây.
Phông chữ: Chọn phông chữ rõ ràng, hiện đại, và dễ đọc, cùng với một chút sự mềm mại để tạo cảm giác thân thiện và gần gũi.
Phong cách thiết kế: Sử dụng phong cách tối giản nhưng tinh tế để tạo sự chuyên nghiệp và dễ nhận diện. Phong cách này cũng giúp logo dễ dàng được in trên các sản phẩm và bao bì khác nhau.
Thông điệp: Đảm bảo logo truyền tải được thông điệp về sự kết hợp g",1,2
3017,Thiết kế video giới thiệu sản phẩm,"Cần thiết kế GIF ngắn giới thiệu sản phẩm số (website, mobileapp)
Ví dụ: https://dribbble.com/shots/24455042-Vet-App-Mobile-Design",1,2
3018,Edit video ngắn tầm 1 phút -2 phút,"Bạn có thể cung cấp dịch vụ này? Thêm vào hồ sơ làm việc.
Công ty Bất Động Sản Hà Đô Phát cần tuyển 02 cộng tác viên media
- Lĩnh vực : bất động sản
-Số lượng : 02
-Lương theo sản phẩm
- Nội dung yêu cầu : edit video ngắn tầm 1 phút - 2 phút
- Yêu cầu : đảm bảo đúng tiến độ , làm việc chuyên nghiệp , trung thực, linh hoạt , nhanh nhẹn, sáng tạo,…",1,2
3019,Chụp ảnh sản phẩm,"Mô tả dự án:
Sản phẩm: Bộ sản phẩm nến thơm mùa đông, gồm 11 sản phẩm và 7 combo.
Phong cách chụp ảnh: Ấm áp, tinh tế, tối giản. Freelancer cần thể hiện rõ nét thiết kế và chất liệu của sản phẩm qua các góc chụp, tạo cảm giác ấm cúng phù hợp với mùa đông.
Số lượng ảnh:
Mỗi sản phẩm và combo sẽ chụp khoảng 5 tấm ảnh.
Tổng số ảnh dự kiến: 90 tấm.
Yêu cầu về người mẫu: Không cần người mẫu, chỉ tập trung chụp sản phẩm.
Yêu cầu cụ thể cho freelancer:
Chuẩn bị bối cảnh và phông nền:
Freelancer tự chuẩn bị bối cảnh chụp, có thể sử dụng phông nền đơn sắc, vật dụng trang trí tối giản nhằm làm nổi bật sản phẩm.
Sử dụng ánh sáng tự nhiên hoặc ánh sáng dịu nhẹ, tránh đổ bóng mạnh để tạo cảm giác ấm á",1,1
3020,"Chụp ảnh, quay clip resort ở Mũi Né","Mình bên agency, cần tìm người quay chụp chuyên nghiệp cho khách hàng là resort 5 sao ở Mũi Né. Bạn nào làm được thì nhắn mình nhé.",1,2
3021,Mình cần quay chụp không gian nội thất nhà ở,"Mình cần tìm bạn quay chụp không gian nội thất nhà ở
- Chụp ảnh và xử lý ảnh
- Quay dựng video dưới 10p",1,2
3022,Chụp ảnh sản phẩm tiệm trà,Cần tìm 1 team 2 - 3 người chụp ảnh khoảng 40 sản phẩm cho tiệm trà.,1,1
3023,Cần CTV viết bài SEO cho website mới tạo,"Bên mình cần tuyển ctv content viết nội dung chuẩn seo cho website và tối ưu onpage cho website. Công việc bao gồm :
- Tối ưu Onpage
- Viết bài chi tiết sản phẩm điều hòa : Daikin, panasonic, Funiki, Casper, LG
- Viết bài SEO từ khóa theo kế hoạch
Yêu cầu :
- Bài viết chuẩn SEO, internal link, tối ưu onpage, tối ưu các thẻ
- Tự lên kế hoạch viết bài
- Báo cáo qua gg sheet",2,1
3024,Tìm content freelancer mảng F&B,"Viết bài quảng cáo facebook mảng F&B
Triển khai dựa trên idea và hình ảnh có sẵn",1,2
